"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse","training_time_ms","predict_time_per_row_ms"
"GBM_grid__1_AutoML_20200520_134408_model_1",0.602917263226274,0.665029344666148,0.487763934321457,0.4687095250355,0.485559276719683,0.235767811208542,209,5.91E-4
"GBM_4_AutoML_20200520_134408",0.60286702306954,0.696188797735501,0.487737615437431,0.466593059355922,0.49619874637739,0.246213195906493,1091,6.95E-4
"GBM_grid__1_AutoML_20200520_134408_model_28",0.602736211353833,0.694119170877983,0.485915958647348,0.468143145441294,0.495468105579893,0.245488643646928,1109,6.22E-4
"GBM_grid__1_AutoML_20200520_134408_model_24",0.602177716248555,0.725060871228178,0.487541872437487,0.460342629565316,0.504892570556827,0.254916507803481,1241,6.88E-4
"GBM_grid__1_AutoML_20200520_134408_model_19",0.601795650659167,0.707206673231891,0.488349398375654,0.465288114327071,0.499577549328853,0.249577727793423,836,6.85E-4
"GBM_grid__1_AutoML_20200520_134408_model_8",0.601348463948591,0.672125118339894,0.485619916034087,0.459857250397835,0.488097940475465,0.238239599496391,264,5.81E-4
"GBM_grid__1_AutoML_20200520_134408_model_43",0.601294608901236,0.700781482617167,0.488926324088243,0.461857898557201,0.497708869762215,0.247714119039982,710,6.39E-4
"GBM_grid__1_AutoML_20200520_134408_model_33",0.600749376759344,0.674482184389748,0.484678079350332,0.458571280485846,0.488971818442958,0.239093439231413,254,6.1E-4
"GBM_grid__1_AutoML_20200520_134408_model_45",0.600481364069418,0.715319573014769,0.486540535981507,0.458643464237691,0.502239640274455,0.252244656263014,986,6.34E-4
"GBM_grid__1_AutoML_20200520_134408_model_34",0.599567411010368,0.700805525922316,0.486542731558024,0.469697919208818,0.498323966494601,0.248326775582912,1608,6.29E-4
"GBM_grid__1_AutoML_20200520_134408_model_44",0.599000998442288,0.682487182668725,0.486635943741799,0.466457281650266,0.492331296086234,0.242390105105951,1313,6.19E-4
"GBM_grid__1_AutoML_20200520_134408_model_25",0.597228444468406,0.690323980722951,0.484733161882219,0.462587645657902,0.494947383886623,0.244972912816212,2463,7.31E-4
"GBM_grid__1_AutoML_20200520_134408_model_21",0.596942118627704,0.687090148406952,0.48106329246555,0.465061961659916,0.493415327012538,0.24345868493089,553,6.74E-4
"GBM_grid__1_AutoML_20200520_134408_model_40",0.596698459736479,0.690462905409059,0.478610518472221,0.460665844876417,0.494594244799404,0.244623466988693,602,6.47E-4
"GBM_grid__1_AutoML_20200520_134408_model_23",0.596519899361711,0.70597791121285,0.483409428032143,0.46881342011513,0.500141340791101,0.25014136076832,1962,7.2E-4
"GBM_grid__1_AutoML_20200520_134408_model_22",0.596357904729744,0.751737301935553,0.48143104587695,0.467175488724377,0.512458525267807,0.262613740119656,4807,7.16E-4
"GBM_grid__1_AutoML_20200520_134408_model_35",0.596266347893331,0.6912101397005,0.481762452434283,0.467323207949839,0.495034565520399,0.24505922105997,792,6.47E-4
"GBM_grid__1_AutoML_20200520_134408_model_3",0.595244296726242,0.687560271893338,0.481190829402881,0.466029807095235,0.493965230257279,0.244001648703127,630,6.5E-4
"GBM_grid__1_AutoML_20200520_134408_model_15",0.593993505790829,0.702781590592686,0.480806706281691,0.473640333312301,0.499157911861049,0.249158620973483,2997,6.96E-4
"GBM_grid__1_AutoML_20200520_134408_model_27",0.593417312010188,0.687584761568303,0.47886174915711,0.473835205178487,0.494033191737717,0.244068794538555,501,6.34E-4
"GBM_grid__1_AutoML_20200520_134408_model_38",0.592988775032768,0.713579495786507,0.476847246535919,0.47385026739556,0.502173169149749,0.252177891813903,1067,6.3E-4
"GBM_grid__1_AutoML_20200520_134408_model_4",0.592763627757715,0.708747345067671,0.479407522318593,0.472483503195407,0.50095875388282,0.250959673091827,1009,6.32E-4
"DeepLearning_grid__1_AutoML_20200520_134408_model_9",0.592516824527578,0.999592816080967,0.481263454142497,0.467485583751501,0.54061537143152,0.29226497982804,4949,9.36E-4
"GBM_grid__1_AutoML_20200520_134408_model_47",0.592030932087521,0.769939032968521,0.478432175342225,0.467396964493289,0.517253915916872,0.267551613531339,3165,6.99E-4
"GBM_grid__1_AutoML_20200520_134408_model_39",0.591675075751276,0.726366244202547,0.475064494628585,0.475212727986616,0.506185228543789,0.256223485595928,1601,0.001862
"GBM_grid__1_AutoML_20200520_134408_model_46",0.590077685635693,0.70627837243135,0.474900474708103,0.48350958611755,0.500027075168649,0.250027075901714,922,6.04E-4
"GBM_grid__1_AutoML_20200520_134408_model_41",0.588808928708411,0.752917298473596,0.473393004181617,0.476999741108216,0.513602630845075,0.263787662410982,2071,6.03E-4
"DeepLearning_grid__1_AutoML_20200520_134408_model_6",0.588562207601885,1.21838624605066,0.474458879052301,0.468408038885633,0.562286587681557,0.316166206686569,18940,0.002219
"DeepLearning_grid__1_AutoML_20200520_134408_model_8",0.588076247347633,1.25279350966315,0.476132993252611,0.472497384989245,0.560624431960552,0.314299753711092,11564,0.002281
"GBM_grid__1_AutoML_20200520_134408_model_48",0.585021050712358,0.747475070019324,0.473818296533983,0.486900872391833,0.512612677790496,0.262771757431543,2477,6.82E-4
"DeepLearning_grid__1_AutoML_20200520_134408_model_3",0.584676722996646,2.48555387508743,0.473078385266954,0.5,0.603881832492938,0.364673267615029,17283,0.005004
"DeepLearning_grid__1_AutoML_20200520_134408_model_1",0.583508112496428,1.07377408470954,0.468465204648391,0.476277815659437,0.544351683418399,0.296318755240445,13235,8.3E-4
"DeepLearning_grid__2_AutoML_20200520_134408_model_5",0.583345456727907,2.40026344309952,0.470285358474023,0.46319982865995,0.59794633094856,0.357539814694845,19382,0.009808
"DeepLearning_grid__3_AutoML_20200520_134408_model_3",0.581717177350193,2.91059444685832,0.466119449708342,0.5,0.586483919557266,0.343963387899254,86551,0.014336
"DeepLearning_grid__1_AutoML_20200520_134408_model_4",0.580122291797402,1.20638133920076,0.467545231779913,0.478562537689035,0.573140153297572,0.328489635321964,66767,0.00554
"DeepLearning_grid__1_AutoML_20200520_134408_model_2",0.579258640487796,2.09590983740747,0.466742748031733,0.5,0.594270148888347,0.353157009859778,12466,0.003026
"DeepLearning_grid__1_AutoML_20200520_134408_model_7",0.578066213517865,2.22680888330938,0.46560087411772,0.5,0.60335207320305,0.364033724238419,23976,0.005348
"DeepLearning_grid__3_AutoML_20200520_134408_model_1",0.576714918212572,1.69871474878346,0.462969563044279,0.5,0.560430916592893,0.31408281227315,18090,0.001029
"DeepLearning_grid__2_AutoML_20200520_134408_model_3",0.576070236450022,3.58590845082764,0.464675255531607,0.5,0.608375649487378,0.370120930889189,53250,0.00963
"DeepLearning_grid__1_AutoML_20200520_134408_model_5",0.575553341724176,3.41943976096158,0.461188595587112,0.5,0.624830912065809,0.390413668672991,29113,0.005129
"DeepLearning_grid__2_AutoML_20200520_134408_model_1",0.575061074957172,1.53461535592265,0.460858627182728,0.5,0.560204882749653,0.313829510656552,11493,8.96E-4
"DeepLearning_grid__3_AutoML_20200520_134408_model_2",0.575032640485948,1.55782151382043,0.462038348596271,0.465084457308199,0.576452991288806,0.332298051165813,34456,0.003494
"DeepLearning_grid__2_AutoML_20200520_134408_model_2",0.574833536142986,1.24720215855875,0.461376584553206,0.47906631918192,0.555463463057654,0.308539658792002,22129,0.003021
"DeepLearning_grid__2_AutoML_20200520_134408_model_4",0.564168672270447,1.57282219202943,0.454805011938557,0.490980628697264,0.693538751050629,0.480995999208866,51659,0.008816
"DeepLearning_grid__3_AutoML_20200520_134408_model_7",0.5,1.04582052627311,0.40566,0.5,0.5855158838438,0.342828850233386,2179,0.012778
